Sr. No.,Institute Code,Institute Name,Status,Total Intake
265,6207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Un-Aided,1110
266,6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli","Un-Aided, Autonomous",990
267,6217,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions","Un-Aided, Autonomous",600
268,6219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",Un-Aided,342
269,6220,"SVERI's College of Engineering, Pandharpur","Un-Aided, Autonomous",660
270,6222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.","Un-Aided, Autonomous",810
271,6223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur","Un-Aided, Autonomous",540
272,6250,"D.Y. Patil College of Engineering and Technology, Kolhapur","Un-Aided, Autonomous",1140
273,6265,"Walchand Institute of Technology, Solapur","Un-Aided, Autonomous, Religious Minority - Jain",660
274,6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur","Un-Aided, Autonomous",1140
275,6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar","Un-Aided, Autonomous",1080
276,6269,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli","Un-Aided, Autonomous",630
277,6270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Un-Aided,420
278,6271,Pune Institute of Computer Technology,"Un-Aided, Autonomous",780
279,6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Un-Aided, Autonomous",1080
280,6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune","Un-Aided, Autonomous",3720
281,6274,"PVG's College of Engineering, Technology & Management","Un-Aided, Autonomous",660
282,6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",Un-Aided,540
283,6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune","Un-Aided, Autonomous",600
284,6277,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur","Un-Aided, Autonomous",420
285,6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune","Un-Aided, Autonomous",840
286,6281,"Modern Education Society's Wadia College of Engineering, Pune",Un-Aided,540
287,6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune","Un-Aided, Autonomous",780
288,6283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli","Un-Aided, Autonomous",750
289,6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune","Un-Aided, Autonomous",900
290,6285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",Un-Aided,420
291,6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",Un-Aided,360
292,6293,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",Un-Aided,360
293,6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune","Un-Aided, Autonomous",2100
294,6303,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Un-Aided,300
295,6304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli","Un-Aided, Autonomous",390
296,6305,"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara","Un-Aided, Autonomous",210
297,6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Un-Aided,300
298,6308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)",Un-Aided,240
299,6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune","Un-Aided, Autonomous",1080
300,6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Un-Aided,540
301,6313,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali",Un-Aided,360
302,6315,Sanjeevan Group of Institutions,Un-Aided,360
303,6317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)","Un-Aided, Autonomous",690
304,6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Un-Aided,390
305,6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Un-Aided,570
306,6321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Un-Aided,360
307,6322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",Un-Aided,210
308,6324,Rajgad Technical Campus,Un-Aided,360
309,6325,"Alard Charitable Trust's Alard College of Engineering and Management, Pune","Un-Aided, Linguistic Minority - Hindi",480
310,6326,Karmayogi Institute of Technology,Un-Aided,240
311,6402,"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR",Un-Aided,240
312,6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv",Un-Aided,180
313,6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",Un-Aided,180
314,6467,"Swami Vivekanand Institute Of Technology, Solapur",Un-Aided,300
315,6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur",Un-Aided,360
316,6545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.","Un-Aided, Autonomous",360
317,6609,"Jaihind College Of Engineering,Kuran",Un-Aided,450
318,6622,ISBM College Of Engineering Pune,"Un-Aided, Linguistic Minority - Hindi",630
319,6625,"Universal College of Engineering & Research, Sasewadi",Un-Aided,91
320,6628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",Un-Aided,360
321,6632,Navsahyadri Education Society's Group of Institutions,Un-Aided,690
322,6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Un-Aided,360
323,6635,Samarth College of Engineering and Management,Un-Aided,420
324,6640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Un-Aided,360
325,6643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Un-Aided,480
326,6644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj","Un-Aided, Autonomous",300
327,6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Un-Aided,420
328,6714,"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",Un-Aided,240
329,6715,Babasaheb Phadtare Engineering & Technology Kalamb-Walchandnagar Tal Indapur Dist Pune,Un-Aided,120
330,6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Un-Aided,840
331,6754,"International Institute of Information Technology (I²IT), Pune.","Un-Aided, Autonomous",360
332,6755,"JSPM Narhe Technical Campus, Pune.",Un-Aided,480
333,6756,"Fabtech Technical Campus College of Engineering and Research, Sangola","Un-Aided, Autonomous",360
334,6757,"Yashoda Technical Campus, Wadhe, Satara.",Un-Aided,720
335,6758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Un-Aided,240
336,6759,"Shree Ramchandra College of Engineering, Lonikand,Pune",Un-Aided,210
337,6762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Un-Aided,390
338,6766,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara,Un-Aided,300
339,6767,"Suman Ramesh Tulsiani Technical Campus Faculty of Engineering, Kamshet,Pune.",Un-Aided,540
340,6768,"P.K. Technical Campus, Pune.",Un-Aided,120
341,6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Un-Aided,480
342,6770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Un-Aided,210
343,6771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",Un-Aided,150
344,6772,"NBN Sinhgad Technical Institutes Campus, Pune",Un-Aided,450
345,6780,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.","Un-Aided, Autonomous",360
346,6781,"Bhagwant Institute of Technology, Barshi",Un-Aided,300
347,6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",Un-Aided,360
348,6794,"Anantrao Pawar College of Engineering & Research, Pune",Un-Aided,480
349,6795,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",Un-Aided,210
350,6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Un-Aided,300
351,6797,"Dnyanshree Institute Engineering and Technology, Satara",Un-Aided,330
352,6799,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj",Un-Aided,150
353,6803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Un-Aided,360
354,6808,"Keystone School of Engineering, Pune",Un-Aided,474
355,6811,Sanjay Ghodawat Institute,Un-Aided,300
356,6815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Un-Aided,120
357,6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet","Un-Aided, Autonomous",600
358,6834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon","Un-Aided, Autonomous",420
359,6839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Un-Aided,360
360,6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",Un-Aided,390
361,6901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Un-Aided,330
362,6938,Shree Siddheshwar Womens College Of Engineering Solapur.,Un-Aided,390
363,6991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",Un-Aided,600
364,14005,"Laxminarayan Innovation Technological University, Nagpur","University, Autonomous",150
365,16006,COEP Technological University,"University, Autonomous",1185
366,16121,"Shri. Anandrao Abitkar College of Engineering, Pal",Un-Aided,360
367,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",Un-Aided,240
368,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",Un-Aided,360
369,16354,DNYANVILAS COLLEGE OF ENGINEERING,Un-Aided,300
370,16355,Audyogik Shikshan Mandal's Nextgen Technical Campus,Un-Aided,360
371,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,Un-Aided,240
372,16361,"Zeal College of Engineering & Research, Induri, Pune (Off Campus-Induri)","Un-Aided, Autonomous",360
