Institute_Type,College_Code,College_Name,CAP_Seats,Choice_Code,Course_Name,SI,MS_Seats,Minority_Seats,All_India,Institute_Seats,Orphan,Row_Type,OPEN_G,OPEN_L,SC_G,SC_L,ST_G,ST_L,VJ/DT_G,VJ/DT_L,NTB_G,NTB_L,NTC_G,NTC_L,NTD_G,NTD_L,OBC_G,OBC_L,SEBC_G,SEBC_L,Total_G+L
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",155,0414724210,Computer Science and Engineering,180,128,0,27,25,1,State Level,33,14,10,4,7,2,2,2,2,2,3,1,1,1,15,7,8,3,117
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",155,0414724210,Computer Science and Engineering,180,128,0,27,25,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",155,0414724210,Computer Science and Engineering,180,128,0,27,25,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",155,0414724210,Computer Science and Engineering,180,128,0,27,25,1,EWS,,,,,,,,,,,,,,,,,,,18
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",54,0414724610,Information Technology,60,45,0,9,6,0,State Level,11,5,4,2,2,1,2,0,1,0,1,1,1,0,6,2,3,1,43
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",54,0414724610,Information Technology,60,45,0,9,6,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",54,0414724610,Information Technology,60,45,0,9,6,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",54,0414724610,Information Technology,60,45,0,9,6,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",90,0414729310,Electrical Engineering,90,76,0,14,0,1,State Level,18,8,6,2,3,2,1,1,2,0,2,0,1,1,9,4,5,2,67
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",90,0414729310,Electrical Engineering,90,76,0,14,0,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",90,0414729310,Electrical Engineering,90,76,0,14,0,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",90,0414729310,Electrical Engineering,90,76,0,14,0,1,EWS,,,,,,,,,,,,,,,,,,,9
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",85,0414737210,Electronics and Telecommunication Engg,90,71,0,14,5,1,State Level,17,7,5,2,4,1,2,0,1,1,2,1,1,0,8,3,5,2,62
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",85,0414737210,Electronics and Telecommunication Engg,90,71,0,14,5,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",85,0414737210,Electronics and Telecommunication Engg,90,71,0,14,5,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",85,0414737210,Electronics and Telecommunication Engg,90,71,0,14,5,1,EWS,,,,,,,,,,,,,,,,,,,9
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",60,0414761210,Mechanical Engineering,60,51,0,9,0,1,State Level,13,5,4,2,3,1,1,1,1,0,1,1,1,0,5,2,3,2,46
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",60,0414761210,Mechanical Engineering,60,51,0,9,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",60,0414761210,Mechanical Engineering,60,51,0,9,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",60,0414761210,Mechanical Engineering,60,51,0,9,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",78,0414799510,Artificial Intelligence and Data Science,90,64,0,14,12,1,State Level,16,7,5,3,3,2,1,1,0,1,2,0,0,1,7,3,5,2,59
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",78,0414799510,Artificial Intelligence and Data Science,90,64,0,14,12,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",78,0414799510,Artificial Intelligence and Data Science,90,64,0,14,12,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided Autonomous,04147,"K.D.K. College of Engineering, Nagpur",78,0414799510,Artificial Intelligence and Data Science,90,64,0,14,12,1,EWS,,,,,,,,,,,,,,,,,,,9
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415100210,Aeronautical Engineering,90,76,0,14,0,1,State Level,18,8,6,2,4,1,2,0,2,0,1,1,1,0,9,4,6,2,67
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415100210,Aeronautical Engineering,90,76,0,14,0,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415100210,Aeronautical Engineering,90,76,0,14,0,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415100210,Aeronautical Engineering,90,76,0,14,0,1,EWS,,,,,,,,,,,,,,,,,,,9
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415108210,Bio Technology,90,76,0,14,0,1,State Level,18,8,6,2,3,2,1,1,1,1,2,1,1,0,8,4,5,3,67
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415108210,Bio Technology,90,76,0,14,0,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415108210,Bio Technology,90,76,0,14,0,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415108210,Bio Technology,90,76,0,14,0,1,EWS,,,,,,,,,,,,,,,,,,,9
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415119110,Civil Engineering,90,76,0,14,0,1,State Level,18,8,5,3,4,1,2,0,2,0,2,0,1,1,8,4,6,2,67
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415119110,Civil Engineering,90,76,0,14,0,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415119110,Civil Engineering,90,76,0,14,0,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",90,0415119110,Civil Engineering,90,76,0,14,0,1,EWS,,,,,,,,,,,,,,,,,,,9
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",180,0415124210,Computer Science and Engineering,180,153,0,27,0,2,State Level,39,16,12,5,7,4,3,2,2,2,3,2,2,1,17,7,9,4,137
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",180,0415124210,Computer Science and Engineering,180,153,0,27,0,2,PWD,3,1,0,0,0,0,0,2,1,7,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",180,0415124210,Computer Science and Engineering,180,153,0,27,0,2,DEF,3,1,0,0,0,0,0,2,1,7,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",180,0415124210,Computer Science and Engineering,180,153,0,27,0,2,EWS,,,,,,,,,,,,,,,,,,,18
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415124610,Information Technology,150,127,0,23,0,1,State Level,32,14,11,4,6,2,3,1,2,1,4,1,2,0,16,6,8,3,116
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415124610,Information Technology,150,127,0,23,0,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415124610,Information Technology,150,127,0,23,0,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415124610,Information Technology,150,127,0,23,0,1,EWS,,,,,,,,,,,,,,,,,,,15
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415129310,Electrical Engineering,150,127,0,23,0,1,State Level,32,14,9,5,6,3,3,1,3,0,2,2,2,1,15,7,7,4,116
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415129310,Electrical Engineering,150,127,0,23,0,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415129310,Electrical Engineering,150,127,0,23,0,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415129310,Electrical Engineering,150,127,0,23,0,1,EWS,,,,,,,,,,,,,,,,,,,15
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415137010,Electronics and Communication Engineering,150,127,0,23,0,1,State Level,33,14,10,4,7,2,2,1,2,1,4,1,2,1,15,7,7,3,116
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415137010,Electronics and Communication Engineering,150,127,0,23,0,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415137010,Electronics and Communication Engineering,150,127,0,23,0,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415137010,Electronics and Communication Engineering,150,127,0,23,0,1,EWS,,,,,,,,,,,,,,,,,,,15
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",120,0415161210,Mechanical Engineering,120,102,0,18,0,1,State Level,25,11,9,3,4,3,2,1,2,1,3,1,1,0,12,5,6,2,91
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",120,0415161210,Mechanical Engineering,120,102,0,18,0,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",120,0415161210,Mechanical Engineering,120,102,0,18,0,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",120,0415161210,Mechanical Engineering,120,102,0,18,0,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415191210,Computer Science and Engineering(Data Science),150,127,0,23,0,1,State Level,33,14,9,5,7,2,3,1,2,1,3,1,2,1,15,6,8,3,116
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415191210,Computer Science and Engineering(Data Science),150,127,0,23,0,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415191210,Computer Science and Engineering(Data Science),150,127,0,23,0,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415191210,Computer Science and Engineering(Data Science),150,127,0,23,0,1,EWS,,,,,,,,,,,,,,,,,,,15
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415192110,Artificial Intelligence and Machine Learning,150,127,0,23,0,1,State Level,32,14,10,4,6,3,3,1,2,1,2,2,2,1,15,7,7,4,116
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415192110,Artificial Intelligence and Machine Learning,150,127,0,23,0,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415192110,Artificial Intelligence and Machine Learning,150,127,0,23,0,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",150,0415192110,Artificial Intelligence and Machine Learning,150,127,0,23,0,1,EWS,,,,,,,,,,,,,,,,,,,15
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416719110,Civil Engineering,120,102,0,18,0,1,State Level,26,11,8,3,5,2,2,2,1,1,2,1,1,1,12,5,6,2,91
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416719110,Civil Engineering,120,102,0,18,0,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416719110,Civil Engineering,120,102,0,18,0,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416719110,Civil Engineering,120,102,0,18,0,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416724210,Computer Science and Engineering,180,117,0,27,36,1,State Level,30,12,9,4,6,2,2,1,2,1,3,1,2,1,14,6,7,3,106
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416724210,Computer Science and Engineering,180,117,0,27,36,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416724210,Computer Science and Engineering,180,117,0,27,36,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416724210,Computer Science and Engineering,180,117,0,27,36,1,EWS,,,,,,,,,,,,,,,,,,,18
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416724610,Information Technology,180,117,0,27,36,1,State Level,30,13,9,4,5,3,3,0,3,0,3,1,2,0,14,6,7,3,106
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416724610,Information Technology,180,117,0,27,36,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416724610,Information Technology,180,117,0,27,36,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416724610,Information Technology,180,117,0,27,36,1,EWS,,,,,,,,,,,,,,,,,,,18
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416725110,Computer Technology,120,78,0,18,24,1,State Level,18,8,6,2,4,1,2,1,1,1,2,1,1,1,9,4,5,2,69
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416725110,Computer Technology,120,78,0,18,24,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416725110,Computer Technology,120,78,0,18,24,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416725110,Computer Technology,120,78,0,18,24,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416725710,Computer Science and Design,60,39,0,9,12,0,State Level,10,4,3,2,2,1,0,1,1,0,1,0,0,0,6,2,3,1,37
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416725710,Computer Science and Design,60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416725710,Computer Science and Design,60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416725710,Computer Science and Design,60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416726710,Computer Science and Engineering (IoT),60,39,0,9,12,0,State Level,10,4,4,1,2,1,1,0,0,1,1,1,1,0,5,2,2,1,37
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416726710,Computer Science and Engineering (IoT),60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416726710,Computer Science and Engineering (IoT),60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416726710,Computer Science and Engineering (IoT),60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416735610,Electrical Engg[Electronics and Power],120,102,0,18,0,1,State Level,25,11,7,4,5,2,2,1,2,0,2,1,2,1,12,5,6,3,91
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416735610,Electrical Engg[Electronics and Power],120,102,0,18,0,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416735610,Electrical Engg[Electronics and Power],120,102,0,18,0,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416735610,Electrical Engg[Electronics and Power],120,102,0,18,0,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416737210,Electronics and Telecommunication Engg,180,117,0,27,36,1,State Level,29,13,9,4,5,3,3,1,2,1,3,1,1,1,15,6,6,3,106
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416737210,Electronics and Telecommunication Engg,180,117,0,27,36,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416737210,Electronics and Telecommunication Engg,180,117,0,27,36,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",144,0416737210,Electronics and Telecommunication Engg,180,117,0,27,36,1,EWS,,,,,,,,,,,,,,,,,,,18
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416737610,Electronics Engineering,120,78,0,18,24,1,State Level,19,8,6,2,5,1,1,1,1,1,2,1,1,0,8,4,6,2,69
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416737610,Electronics Engineering,120,78,0,18,24,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416737610,Electronics Engineering,120,78,0,18,24,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416737610,Electronics Engineering,120,78,0,18,24,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",60,0416737810,Electronics Engineering ( VLSI Design and Technology),60,51,0,9,0,1,State Level,13,5,5,2,2,1,2,0,1,0,2,0,1,0,5,2,3,2,46
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",60,0416737810,Electronics Engineering ( VLSI Design and Technology),60,51,0,9,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",60,0416737810,Electronics Engineering ( VLSI Design and Technology),60,51,0,9,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",60,0416737810,Electronics Engineering ( VLSI Design and Technology),60,51,0,9,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416761210,Mechanical Engineering,120,102,0,18,0,1,State Level,26,11,8,3,5,2,2,1,2,1,2,1,1,1,12,5,6,2,91
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416761210,Mechanical Engineering,120,102,0,18,0,1,PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416761210,Mechanical Engineering,120,102,0,18,0,1,DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",120,0416761210,Mechanical Engineering,120,102,0,18,0,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),60,39,0,9,12,0,State Level,9,4,3,2,2,1,1,0,1,0,1,1,1,0,5,3,2,1,37
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",48,0416791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416799510,Artificial Intelligence and Data Science,120,78,0,18,24,1,State Level,19,8,6,2,3,2,2,1,1,1,2,0,0,1,9,4,6,2,69
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416799510,Artificial Intelligence and Data Science,120,78,0,18,24,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416799510,Artificial Intelligence and Data Science,120,78,0,18,24,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided Autonomous,04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",96,0416799510,Artificial Intelligence and Data Science,120,78,0,18,24,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided Autonomous Religious Minority - Christian,04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",54,0417419110,Civil Engineering,60,20,31,3,6,0,State Level,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Un-Aided Autonomous Religious Minority - Christian,04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",54,0417419110,Civil Engineering,60,20,31,3,6,0,PWD,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Un-Aided Autonomous Religious Minority - Christian,04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",54,0417419110,Civil Engineering,60,20,31,3,6,0,DEF,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Un-Aided Autonomous Religious Minority - Christian,04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",54,0417419110,Civil Engineering,60,20,31,3,6,0,EWS,,,,,,,,,,,,,,,,,,,0
Un-Aided Autonomous Religious Minority - Christian,04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",96,0417424210,Computer Science and Engineering,120,30,61,5,24,0,State Level,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Un-Aided Autonomous Religious Minority - Christian,04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",96,0417424210,Computer Science and Engineering,120,30,61,5,24,0,PWD,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Un-Aided Autonomous Religious Minority - Christian,04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",96,0417424210,Computer Science and Engineering,120,30,61,5,24,0,DEF,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Un-Aided Autonomous Religious Minority - Christian,04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",96,0417424210,Computer Science and Engineering,120,30,61,5,24,0,EWS,,,,,,,,,,,,,,,,,,,0
Un-Aided Autonomous Religious Minority - Christian,04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",48,0417424610,Information Technology,60,14,31,3,12,0,State Level,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
