Sr No,College Name,Avg Package (LPA),Tier,College Code,Official Sites 
257,"Babasaheb Naik College of Engineering, Pusad",2–3,Tier 4,1117,https://www.bncoepusad.ac.in/
258,"Flora Institute of Technology, Khed Shivapur, Pune",2–3,Tier 4,6771,https://www.flora.ac.in/
259,"Shri Shivaji Institute of Engineering and Management Studies, Parbhani",2–3,Tier 4,2252,https://ssiems.org.in/
260,"Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",2–3,Tier 4,6795,https://www.secsomeshwar.ac.in/
261,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur",2–3,Tier 4,1182,https://www.coemalkapur.ac.in/
262,"Shatabdi Institute of Engineering & Research, Sinnar",2–3,Tier 4,5184,https://siernashik.org.in/
263,"Dnyanshree Institute Engineering and Technology, Satara",2–3,Tier 4,6797,https://www.dnyanshree.edu.in/
264,"Smt. Alamuri Ratnamala Institute of Engineering, Shahapur",2–3,Tier 4,3219,https://armiet.in/
265,"Godavari College of Engineering, Jalgaon",2–3,Tier 4,5171,https://www.gfgcoe.ac.in/
266,"Takshashila Institute of Engineering & Technology, Amravati",2–3,Tier 4,1126,https://takshshila.ac.in/
267,"MIT College of Railway Engineering and Research, Barshi",2–3,Tier 4,6901,https://mitcorer.edu.in/
268,"Sanghavi College of Engineering, Varvandi, Nashik",2–3,Tier 4,5399,https://engineering.shreemahavir.org/
269,"Anjuman College of Engineering & Technology, Nagpur",2–3,Tier 4,4172,https://anjumanengg.edu.in/
270,"Matoshri Pratishan's Group of Institutions, Nanded",2–3,Tier 4,2116,https://mpgi.ac.in/
271,"Gurunanak Institute of Technology, Nagpur",2–3,Tier 4,4196,https://www.gnitedu.in/
272,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha",2–3,Tier 4,5381,https://www.sjrit.ac.in/
273,"Nagpur Institute of Technology, Nagpur",2–3,Tier 4,4144,https://nit.edu.in/
274,"Institute of Technology, Management & Research, Nashik",2–3,Tier 4,5401,https://imrt.ac.in/
275,"Smt. Radhikatai Pandav College of Engineering, Nagpur",2–3,Tier 4,4133,https://srpce.ac.in/
276,Atma Malik Institute of Technology & Research,2–3,Tier 4,3445,https://www.amitr.edu.in/
277,"Adarsh Institute of Technology and Research Centre, Vita, Sangli",2–3,Tier 4,6304,https://www.aitrcvita.edu.in/
278,Karmayogi Institute of Technology,2–3,Tier 4,6326,https://www.karmayogi.org.in/
279,"Dr. Bapuji Salunkhe Institute of Engineering & Technology, Kolhapur",2–3,Tier 4,6468,https://www.bsiet.org/
280,"Suman Ramesh Tulsiani Technical Campus, Kamshet",2–3,Tier 4,6767,https://www.srttc.ac.in/
281,Ashokrao Mane Group of Institutions,2–3,Tier 4,6217,https://amgoi.edu.in/
282,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",2–3,Tier 4,2133,https://www.coea.ac.in/
283,"Rajarshi Shahu College of Engineering, Buldhana",2–3,Tier 4,1125,https://rsce.ac.in/
284,"Nanasaheb Mahadik College of Engineering, Walwa, Sangli",2–3,Tier 4,6762,https://www.nmcoe.org.in/
285,"Shree Santkrupa Institute of Engineering & Technology, Karad",2–3,Tier 4,6466,https://www.sietghogaon.org/
286,"J.T. Mahajan College of Engineering, Faizpur",2–3,Tier 4,5168,https://www.jtmcoef.ac.in/
287,"Shankarrao Mohite Patil Institute of Technology, Akluj",2–3,Tier 4,6782,https://www.smsmpitr.edu.in/
288,"Fabtech Technical Campus College of Engineering, Sangola",2–3,Tier 4,6756,https://www.ftccoe.ac.in/
289,"Vidharbha Institute of Technology, Nagpur",2–3,Tier 4,4193,https://www.vitnagpur.edu.in/
290,"Dattakala Group of Institutions, Daund, Pune",2–3,Tier 4,6628,https://dattakala.edu.in/
291,"Siddhivinayak Technical Campus, Nile",2–3,Tier 4,1268,https://stc.org.in/
292,"P.G. College of Engineering & Technology, Nandurbar",2–3,Tier 4,5497,https://pgcet.ac.in/
293,"New Institute of Technology, Kolhapur",2–3,Tier 4,6402,https://nitkop.in/
294,"Matoshri Asarabai Polytechnic, Nashik",2–3,Tier 4,5256,https://mapoly.co.in/
295,"Matoshri Institute of Technology, Dhanore, Nashik",2–3,Tier 4,5263,https://mityeola.com/
296,Sanjeevan Group of Institutions,2–3,Tier 4,6315,http://www.seti.edu.in/
297,"Ballarpur Institute of Technology, Bhandara",2–3,Tier 4,4188,https://www.bitedu.co.in/
298,"Hi-Tech Institute of Technology, Aurangabad",2–3,Tier 4,2135,https://hitechengg.edu.in/
299,International Centre of Excellence in Engineering (ICEEM),2–3,Tier 4,2516,https://www.iceemabad.com/
300,"Shree Govindrao Vanjari College of Engineering, Nagpur",2–3,Tier 4,4135,https://www.gwcet.ac.in/
301,"Gramin Technical and Management Campus, Nanded",2–3,Tier 4,2508,https://graminnanded.org.in/
302,"G.M. Vedak Institute of Technology, Tala, Raigad",2–3,Tier 4,3447,https://www.gmvit.com/
303,"Dr. A. D. Shinde College of Engineering, Kolhapur",2–3,Tier 4,6878,https://www.adshindecoe.edu.in/
304,"Shri Sant Gadgebaba College of Engineering, Bhusawal",2–3,Tier 4,5170,https://www.ssgbcoet.com/
305,"Vidya Vikas Pratishthan Institute of Engineering, Solapur",2–3,Tier 4,6321,https://vvpengineering.org/
306,"Aditya Engineering College, Beed",2–3,Tier 4,2136,https://adityaengineeringcollege.in/
307,"Gangamai College of Engineering, Dhule",2–3,Tier 4,5169,https://gangamaiengg.org.in/
308,"Sanmati Engineering College, Washim",2–3,Tier 4,1180,https://www.sanmati.edu.in/
309,"Bapurao Deshmukh College of Engineering, Sevagram",2–3,Tier 4,4118,https://bdce.edu.in/
310,"Bramhadevdada Mane Institute of Technology, Solapur",2–3,Tier 4,6293,https://www.bmitsolapur.org/
311,"Metropolitan Institute of Technology & Management, Sindhudurg",2–3,Tier 4,3440,https://mitm.ac.in/
312,"Adsul's Technical Campus, Ahmednagar",2–3,Tier 4,5380,https://sgvssatc.com/
313,"Pankaj Laddhad Institute of Technology & Management Studies, Buldhana",2–3,Tier 4,1130,https://plit.ac.in/
314,"Karanjekar College of Engineering & Management, Sakoli",2–3,Tier 4,4679,
315,"Sanjay Bhokare Group of Institutes, Miraj",2–3,Tier 4,6644,https://www.sbgimiraj.org/
316,"Sandipani Technical Campus, Latur",2–3,Tier 4,2522,https://sandipani.ac.in/
317,"Shri Shankarprasad Agnihotri College of Engineering, Wardha",2–3,Tier 4,4175,https://www.sspace.ac.in/
318,Dr. V.K. Patil College of Engineering & Technology,2–3,Tier 4,2641,https://www.drvpeducationalcampus.com/dr-v-k-patil-college-of-engineering-and-technology/
319,"Arvind Gavali College of Engineering, Satara",2–3,Tier 4,6545,https://www.agce.edu.in/
320,"Vidya Niketan College of Engineering, Sangamner",2–3,Tier 4,5408,https://vidyaniketanglobal.com/
321,"Nagarjuna Institute of Engineering Technology & Management, Nagpur",2–3,Tier 4,4192,https://nietm.in/
322,"Manoharbhai Patel Institute of Engineering & Technology, Bhandara",2–3,Tier 4,4302,https://mietbhandara.ac.in/
323,"Mandukarrao Pandav College of Engineering, Bhandara",2–3,Tier 4,4143,https://www.mpcoe.edu.in/
324,"Everest Education Society Group of Institutions, Ohar",2–3,Tier 4,2111,https://www.eescoet.org/
325,"Jaywant College of Engineering & Polytechnic, Sangali",2–3,Tier 4,6313,https://jcep.edu.in/
326,"Rajiv Gandhi College of Engineering, Ahmednagar",2–3,Tier 4,5409,https://www.rgcoe.org/
327,"Phaltan Education Society's College of Engineering, Satara",2–3,Tier 4,6766,https://www.coephaltan.edu.in/
328,"Shri Sai College of Engineering & Technology, Bhadrawati",2–3,Tier 4,4190,https://sscet.in/
329,"Ahinsa Institute of Technology, Dhule",2–3,Tier 4,5365,https://ahinsainstituteoftechnology.in/Main/
330,"S.B. Patil College of Engineering, Indapur",2–3,Tier 4,6319,https://www.sbpcoe.edu.in/
331,"Bhagwant Institute of Technology, Barshi",2–3,Tier 4,6781,https://bitbarshi.edu.in/
332,"Shri. Anandrao Abitkar College of Engineering, Pal",2–3,Tier 4,16121,https://abitkarcollegeofengineering.com/
333,"Agnihotri College of Engineering, Sindhi(Meghe)",2–3,Tier 4,4197,https://www.acenagthana.ac.in/
334,"Shriram Institute of Engineering & Technology, Paniv",2–3,Tier 4,6444,https://sietpaniv.org/
335,"Samajbhushan Eknathrao Dhakane College of Engineering, Shevgaon",2–3,Tier 4,5370,https://www.dhakanecoe.co.in/
336,"Shree Tuljabhavani College of Engineering, Tuljapur",2–3,Tier 4,2131,https://stbcet.org.in/
337,"Swaminarayan Siddhanta Institute of Technology, Nagpur",2–3,Tier 4,4181,https://ssitngp.in/
338,"Appasaheb Alias Sa.Re.Patil Institute of Technology, Kolhapur",2–3,Tier 4,6714,https://www.srpit.ac.in/
339,"K. T. Patil College of Engineering and Technology, Osmanabad",2–3,Tier 4,2146,https://www.ktpatilengg.com/
340,Mangaldeep College of Engineering,2–3,Tier 4,2666,https://mangaldeep.org/
341,"Nagnathappa Halge Engineering College, Parli, Beed",2–3,Tier 4,2137,https://www.nhce.in/
342,"Shri Swami Samarth Institute of Management and Technology, Nashik",2–3,Tier 4,5509,
343,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon",2–3,Tier 4,5411,https://mmantc.edu.in/
344,"Bharat-Ratna Indira Gandhi College of Engineering, Solapur",2–3,Tier 4,6219,https://www.bigce.in/
345,"MKD Institute of Technology, Nandurbar",2–3,Tier 4,5513,https://mkdit.edu.in/
346,"R.V. Parankar College of Engineering & Technology, Wardha",2–3,Tier 4,4648,https://rvparankar.in/
347,"Jamia Institute of Engineering And Management Studies, Akkalkuwa",2–3,Tier 4,5239,https://www.jiemsakk.com/
348,"Mitthulalji Sarada Polytechnic, Beed",2–3,Tier 4,2282,https://msiot.in/
349,"Abhinav Education Society's College of Engineering, Wadwadi",2–3,Tier 4,6318,https://abhinavsociety.org/
350,"V M Institute of Engineering and Technology, Nagpur",2–3,Tier 4,4141,
351,"Sangli Vishveshwarya Technical Campus, Miraj",2–3,Tier 4,6799,https://www.shivgangavtc.org/
352,"Late Narayandas Bhawandas Chhabada Institute of Engineering, Satara",2–3,Tier 4,6305,https://engg.sdncedu.com/
353,"Jijau Institute of Engineering Technology and Management, Nanded",2–3,Tier 4,2637,https://jijauinstetm.edu.in/
354,"Vilasrao Deshmukh College of Engineering and Technology, Nagpur",2–3,Tier 4,4141,https://www.vdcet.in/
355,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",2-3,Tier 4,4648,https://rvparankar.in/
356,JAMIA INSTITUTE OF TECHNOLOGY,2-3,Tier 4,5239,https://www.jamiapolytechnic.org/
357,"MKD Institute of Technology, Nadurbar",2-3,Tier 4,5513,https://mkdit.edu.in/
358,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",2-3,Tier 4,5509,
359,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon",2-3,Tier 4,5003,https://nmu.ac.in/chemical_technology
360,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",2-3,Tier 4,5181,https://ges-coengg.org/
361,"Shri Vile Parle Kelavani Mandal's College of Engineering, Shirpur",2-3,Tier 4,5545,https://svkmcoe.ac.in/
362,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",2-3,Tier 4,5109,https://sitrc.sandipfoundation.org/
363,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",2-3,Tier 4,5418,https://www.ggsf.edu.in/
364,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",2-3,Tier 4,5244,https://metbhujbalknowledgecity.ac.in/metpoly/
365,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",2-3,Tier 4,5104,https://www.sscoetjalgaon.ac.in/
366,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",2-3,Tier 4,5390,https://kvnnaik.org/
367,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",2-3,Tier 4,5177,https://engg.matoshri.edu.in/
368,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",2-3,Tier 4,5125,https://svitnashik.in/
369,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",2-3,Tier 4,5303,https://parikrama.edu.in/
370,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",2-3,Tier 4,5182,https://www.lgnscoe.sapkalknowledgehub.org/
371,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",2-3,Tier 4,5130,https://engineering.brahmavalley.edu.in/
372,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",2-3,Tier 4,5164,https://coeshahada.ac.in/
373,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",2-3,Tier 4,5106,https://coem.ac.in/
374,"Adsul's Technical Campus, Chas Dist. Ahmednagar",2-3,Tier 4,5380,https://sgvssatc.com/
375,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",2-3,Tier 4,5184,https://siernashik.org.in/
376,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",2-3,Tier 4,5170,https://www.ssgbcoet.com/
377,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",2-3,Tier 4,5169,https://gangamaiengg.org.in/
378,"Vidya Niketan College of Engineering, Bota Sangamner",2-3,Tier 4,5408,https://vidyaniketanglobal.com/
379,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",2-3,Tier 4,5409,https://www.rgcoe.org/
380,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule",2-3,Tier 4,5365,https://ahinsainstituteoftechnology.in/Main/
