Sr No,College Name,Avg Package (LPA),Tier,College Code,Official Sites 
66,"Usha Mittal Institute of Technology, Mumbai",8-9,Tier 2,3035,https://www.umit.ac.in/
67,"Smt. Kashibai Navale College of Engineering, Vadgaon",4-5,Tier 3,6178,https://cms.sinhgad.edu/sinhgad_engineering_institutes/skncoe_vadgaon/institute_details.aspx
68,"Textile & Engineering Institute, Ichalkaranji",4-5,Tier 3,6222,https://www.dkte.ac.in/
69,"Sanjivani College of Engineering, Kopargaon",4-5,Tier 3,5160,https://sanjivanicoe.org.in/
70,"Government College of Engineering, Jalgaon",4-5,Tier 3,5004,https://gcoej.ac.in/
71,"Rizvi College of Engineering, Bandra",4-5,Tier 3,3201,https://eng.rizvi.edu.in/
72,Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,4-5,Tier 3,3025,https://sbmp.ac.in/
73,"JSPM Narhe Technical Campus, Pune",4-5,Tier 3,6755,https://jspmntc.edu.in/
74,"A. P. Shah Institute of Technology, Thane",4-5,Tier 3,3475,https://www.apsit.edu.in/
75,"Lokmanya Tilak College of Engineering, Navi Mumbai",4-5,Tier 3,3196,https://ltce.in/
76,"K. K. Wagh Institute of Engineering Education and Research, Nashik",5-6,Tier 2,5121,https://www.kkwagh.edu.in/
77,"Pune Vidyarthi Griha's College of Engineering, Nashik",3-4,Tier 3,5330,https://www.pvgcoenashik.org/
78,"Amrutvahini College of Engineering, Sangamner",3-4,Tier 3,5162,https://www.avcoe.org/
79,"Government College of Engineering, Kolhapur",3-4,Tier 3,6036,https://www.gcoekolhapur.ac.in/
80,"Walchand Institute of Technology, Solapur",3-4,Tier 3,6265,https://witsolapur.org/
81,"G.H. Raisoni College of Engineering, Nagpur",3-4,Tier 3,4116,https://ghrce.raisoni.net/
82,"Indira College of Engineering & Management, Pune",3-4,Tier 3,6179,https://indiraicem.ac.in/
83,"NBN Sinhgad Technical Institutes Campus, Pune",3-4,Tier 3,6772,https://cms.sinhgad.edu/
84,"Karmaveer Adv. Baburao Thakare College of Engineering, Nashik",3-4,Tier 3,5108,https://kbtcoe.org/newsite/
85,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",3-4,Tier 3,3192,https://sigce.edu.in/
86,"Saraswati College of Engineering, Kharghar",3-4,Tier 3,3154,https://engineering.saraswatikharghar.edu.in/
